Producto_ID,NombreProducto
1294,Lors Tubo 20p 236g MLA 1294
1309,Bimbunuelos 4p 66g BIM 1309
1319,Conchitas Vainilla 2p 65g BIM 1319
1348,Surtido Rico KC 454g LAR 1348
1373,Bollos Extra Ajn FS 12p 960g BIM 1373
1464,Donas Panera 26p 650g BIM 1464
1554,Bimbollos con Ajn 18p 1440g BIM 1554
1580,Rosca de Panque Recet Ori 600g CU SUA 1580
1608,Pastel Chocolate Rec Orig 500g CU SUA 1608
1641,Doraditas 4p TR 1641
1643,Bran Frut Pina 40g BIM 1643
1644,Bran Frut Fresa 40g BIM 1644
1647,Animalitos KC 500g LAR 1647
1686,Tortillas Harina 520g 20p WON 1686
1687,Roles Glass 6p 410g BIM 1687
1700,Tortilla Consumos 550g TR 1700
1702,Tortillas Consumos 1 05Kg TR 1702
1876,Totopos 200g MR 1876
1899,Galleta Molida 5Kg LAR 1899
1949,Suavicremas Napolitano KC 12p 480g MLA 1949
2025,Pan Blanco 460g BIM 2025
2027,Pan Blanco 567g WON 2027
2028,Canelita ETN 3p 30g MLA 2028
2059,Banderilla Congelada 70g Cj DH 2059
2060,Barrita Pina Congelada 75g Cj DH 2060
2062,Concha Vainilla Cong 77g Cj DH 2062
2063,Concha Chocolate Cong 77g Cj DH 2063
2064,Peineta Danes Pina Congelada 80g Cj DH 2064
2065,Cuerno Congelado 80g Cj DH 2065
2095,Pan Doble Fibra 750g BIM 2095
2096,Pan Doble Fibra 530g BIM 2096
2097,Concha Chicharron Cong 77g Cj DH 2097
2122,Pan Blanco 567g SUN 2122
2130,Pan de Linaza 475g WON 2130
2185,Molido Industrial 25Kg BIM 2185
2230,Principe 6p 64g MLA 2230
2233,Pan Blanco 640g BIM 2233
2261,Runners 58g BAR 2261
2290,Wonder 100pct gde 680g WON 2290
2309,Mantecadas 2p 62 5g BIM 2309
2320,Barritas Fresa Salvado 67g Prom MLA 2320
2425,Nito 1p 62g Central BIM 2425
2438,Molido 25Kg BIM 2438
2505,Mini Bigotes Chocolate 5p 65g SP TR 2505
2575,Vasos 226 8g8oz NES 2575
2589,Vidrio Congelado 65g Cj DH 2589
2604,Barrita Precocida 44g DH 2604
2665,Tostada Ondulada Tubo 30p 360g Cj MR 2665
2734,Lors 8p 89g MLA 2734
2805,Donas Panera 10p 525g BIM 2805
2806,Donitas Panera 30p 525g BIM 2806
2808,Mantecadas Panera 16p 500g BIM 2808
2810,Panquecitos Gotas Panera 10p 700g BIM 2810
2816,Principe 8p 85g SP MLA 2816
2817,Plativolos 8p 74g MLA 2817
3030,Tostado Blanco 180g WON 3030
3144,Pan Multigrano 540g BIM 3144
3160,Tostada Ond Roja Tubo 30p 360g MR 3160
3230,Principe Chocolate Blanco 8p 88g MLA 3230
3256,Orejas 70g SP TR 3256
3270,Conchas Vainilla 2p 120g BIM 3270
3303,Barritas Pina 67g Prom MLA 3303
3305,Barritas Fresa 67g Prom MLA 3305
3319,Pastisetas 20p 150g SUA 3319
3320,Pastiseta 40p 300g SUA 3320
3333,Pastisetas 75g SUA 3333
3402,Animalitos 2Kg LAR 3402
3415,Canapinas KC 560g LAR 3415
3428,Deliciosas 6Kg LAR 3428
3435,Canapinas 115g LAR 3435
3446,Magnas 200g LAR 3446
3447,Deliciosas 300g LAR 3447
3509,Paletina para Cafe NES 3509
3510,Saladas 140g LAR 3510
3518,Animalitos Karamelo 200g LAR 3518
3525,Canapinas 95g LAR 3525
3526,Canapinas 95g SP LAR 3526
3530,Marias 170g LAR 3530
3535,Decanelas 100g LAR 3535
3555,Deliciosas 115g LAR 3555
3606,Tortilla Hna 750g 18p RW Sonora DH 3606
3609,Mantecadas Chocolate 3p TR 3609
3621,Super Pan Blanco 740g Prom TNB BIM 3621
3631,Pan Integral 370g BIM 3631
3678,Bimbollos 8p 450g Prom BIM 3678
3687,Medias Noches Jumbo 500g BIM 3687
3718,Cuernitos Famili Pack 3p 150g MTA TR 3718
3720,Bran Frut Manzana Canela 40g BIM 3720
3826,Palitrigos 100g BIM 3826
3894,Sponch 8p 120g MLA 3894
3919,Barra Multigrano Linaza 32g BIM 3919
3944,Saladas 175g CU LAR 3944
3970,Tostada Plana de Maiz 20p 180g TN DH 3970
3977,Bran Frut Fresa 6p 240g BIM 3977
3978,Bran Frut Pina 6p 240g BIM 3978
4053,Bimkingo Jalapeno 86g CU LON 4053
4085,Triki Trakes 8p 69g MLA 4085
4087,Lors KC 497g MLA 4087
4102,Mantecada Vainilla 3p 157g Prom TAB TR 4102
4109,Tortilla Hna 22p 840g RW Ch DH 4109
4118,Tortillas Bolsa 2a 1kg 4118
4126,Pan Cero Cero 0pct Azucar 567g WON 4126
4135,Pan Empacado Bolsa 2a 1Kg BIM 4135
4136,Pasteles o Galletas Bolsa de 2a 1kg MLA 4136
4139,Pan Dulce Bolsa 2a 1Kg BIM 4139
4150,Bollo Parrillero 6p 585g BIM 4150
4152,Medias Noches 12p 510g BIM 4152
4153,Pan Blanco 640g Consumos Breddy BIM 4153
4169,Mantecadas 2p 62 5g MTB BIM 4169
4189,Sponch Navidad 120g Cj TAB MLA 4189
4190,Sponch Navidad 120g Cj MLA 4190
4220,Bigotes Chocolate 60g SP TR 4220
4221,Bigotes Cajeta 60g TR 4221
4234,Div Tira Mini Doradita 4p 45g Tir TR 4234
4240,Mantecadas 2p SP TR 4240
4245,Conchas 2p 120g TR 4245
4259,Conchas 3p 180g Prom TR 4259
4270,Cuernitos 100g TR 4270
4280,Doraditas 110g TR 4280
4301,Medias Noches 8p 340g TNB BIM 4301
4304,Mantecadas Chocolate SP 2p 95g TR 4304
4385,Tostada Ondulada Tubo 30p 360g Tn MR 4385
4468,Wonder 100pct Ajonjoli 680g SP WON 4468
4477,Tostada Ondulada Tubo 20p 240g MR 4477
4482,Chocochispas 220g LAR 4482
4512,Bollos BK 5in 6p 489g SL 4512
4513,Bollos BK 4in 6p 345g SL 4513
4514,Medias Noches BK 6p 470g SL 4514
4624,Cajeta Espreable Envinada 660g COR 4624
4733,Bimkingo Jalapeno 86g LON 4733
4767,Tostado Doble Fibra 250g Cj BIM 4767
4773,Tostada Ond Tubo 30p 360g Prom CU MR 4773
4774,Pan Blanco 640g CU BIM 4774
4820,Super Hot Dogs 12p 650g WON 4820
4838,Pan Blanco 680g CU BIM 4838
4859,Sandwichon 115g Cj LON 4859
4910,Empanizador Crujiente 175g BIM 4910
4919,Cajeta Espreable Quemada 660g COR 4919
4943,Canelitas Vips 250g Tubo CU MLA 4943
4944,Bimbolunch 6p 354g ME BIM 4944
4946,Panera Polvoron 14p 65g TR 4946
4947,Baguette Precocida Cong 280g Cj DH 4947
5000,Gansito 1p 50g CCharola MLA 5000
5015,Triki Trakes Chocolate 69g MLA 5015
5052,Nito 1p 62g Central TAB BIM 5052
5200,Coca Cola Lata 355ml CC 5200
5223,Coca Cola Light Lata 355ml CC 5223
5277,Barra Multigrano Linaza 6p 192g BIM 5277
5310,Gansito 50g MLA 5310
5328,Submarinos Vainilla 3p 105g SP MLA 5328
5337,Submarinos Fresa 3p 105g SP MLA 5337
5340,Choco Roles 2p 80g MLA 5340
5345,Rollo Fresa 2p 75G MLA 5345
5350,Pay Pina 1p 85g MLA 5350
5354,Pay Nuez 1p 70g MLA 5354
5355,Napolitano 1p 70g MLA 5355
5371,Bombonete 55g Cj MLA 5371
5376,Rocko Tira 10p 44g MLA 5376
5380,Pinguinos 2p 80g MLA 5380
5386,Choco Roles 2p 80g MLA 5386
5410,Canelitas 6p 60g MLA 5410
5414,Canelitas Tubo 250g MLA 5414
5422,Triki Trakes Tubo 27p 225g MLA 5422
5423,Plativolos Tubo 193g MLA 5423
5430,Triki Trakes 6p 50g MLA 5430
5434,Sponch Fresa 6p 90g MLA 5434
5453,Suavicremas Vainilla 205g MLA 5453
5454,Suavicremas Fresa 205g MLA 5454
5456,Suavicremas Chocolate 205g MLA 5456
5460,Polvorones 4p 75g MLA 5460
5463,Polvoron Tubo 280g MLA 5463
5470,Principe Tubo 205g MLA 5470
5496,Plativolos 300g MLA 5496
5543,Gansito ME 5p 250g MLA 5543
5544,Pinguinos 6p 240g ME MLA 5544
5545,Choco Roles 7p 234 5g ME MLA 5545
5576,Triki Trakes 3P 25g Inst MLA 5576
5621,Submarinos Chocolate 3p 105g SP MLA 5621
5707,Tostada Ondulada Tubo 30p MR 5707
5708,Polvoron KC 12p 900g MLA 5708
5709,Plativolos KC 12p 522g MLA 5709
5710,Canelitas KC 12p 720g MLA 5710
5711,Sponch KC 540g MLA 5711
5712,Triki Trakes KC 600g MLA 5712
5713,Principe KC 610g MLA 5713
5714,Suavicremas Chocolate KC 480g MLA 5714
5715,Barritas Fresa Kc 12p 804g MLA 5715
5716,Barritas Pina Kc 12p 768g MLA 5716
5717,Suavicremas Vainilla KC 480g MLA 5717
5718,Suavicremas Fresa KC 480g MLA 5718
5901,Chocotorro Fresa 1p 50g Prom MLA 5901
5917,Burritos Combinado 191g CU LON 5917
5918,Burritos Norteno 186g CU LON 5918
5919,Burritos Clasico 197g CU LON 5919
5921,Burritos Poblano 208g CU LON 5921
5948,Base Plativolos Chocolate 6Kg MLA 5948
6066,Frute 54g MTB MLA 6066
6085,Tostada Ondulada Reg 30p 360g CU2 MR 6085
6177,Chicharron Kimono 36g BAR 6177
6420,Tortilla Nachos 3pq 1Kg BAR 6420
6437,Takis Fajitas 62g BAR 6437
6456,Churritos Chile y Limon 49g BAR 6456
6469,Totopos 280g DH 6469
6476,Tostachos Queso CB1 70g BAR 6476
6490,Chipotles 52g BAR 6490
6500,Burritos Norteno 186g MTA LON 6500
6502,Burritos Clasico 197g MTA LON 6502
6503,Burritos Poblano 208g MTA LON 6503
6505,Burritos Combinado 191g MTA LON 6505
6507,Bimkingo Clasico 135g CU LON 6507
6555,Takis Salsa Brava 62g BAR 6555
6566,Bimkingo Jalapeno 86g MTA LON 6566
6633,Pan Tostado Arandanos 150g MTA BIM 6633
6645,Tortinachos 3pq 1kg MR 6645
6657,Sandwichon 115g LON 6657
6667,Bimkingo Clasico 135g LON 6667
6700,Totopos Redondo 350g MR 6700
6820,Golden Nuts Semilla 20g BAR 6820
7144,Bollos Economicos 8p 425g SL 7144
7145,Hot Dogs Economicos 16p 570g SL 7145
7340,Bimkingo Clasico Refrig 135g MTA LON 7340
7342,Sandwichon Refrigerado 115g MTA LON 7342
7724,Panditas 42 5g RIC 7724
7761,Bubulubu 20g RIC 7761
7814,Kranky 40g RIC 7814
7829,Bubulubu 1p 35g RIC 7829
7884,Almendras 35g RIC 7884
8766,Cajeta Quemada Cubeta 25Kg COR 8766
8768,Cajeta Quemada Cubeta 5Kg COR 8768
8825,Obleas Tira 10p COR 8825
8863,Medias Noches Esp BK 7in 1775g TIR SL 8863
8864,Bollos BK 5in 20p 1730g SL 8864
8865,Bollos BK 4in 30p 1635g Tn SL 8865
8874,Tortilla Hna 10p 260g Ch DH 8874
8921,Tortilla Hna RC Gdl 10p 260g DH 8921
8931,Medias Noches Conveniencia 290g BIM 8931
8940,Tortilla Hna RC SLP 10p 260g DH 8940
9082,Dalmata 1p 55g TAB MLA 9082
9197,Barritas Fresa 32g CU MLA 9197
9217,Cuernitos Famili Pack 3p 150g TR 9217
9248,Dulcigomas 49g RIC 9248
9249,Canelitas 30g CU MLA 9249
9302,Principe 42 5g CU MLA 9302
9416,Chocoretas 10g RIC 9416
9699,Mentho Plus Miel 30g RIC 9699
9711,Oatnut 680g ORO 9711
9717,Pan 12 Grain 680g ORO 9717
9753,100pct Whole Wheat 680g ORO 9753
9756,Butter Milk Bread 680g ORO 9756
9764,Bubulubu Twin Pack 70g RIC 9764
9798,Chicks Vitrolero 1470g EXP CA CHK 9798
9853,Pasteles yo Galletas 2a 500g MLA 9853
9869,Pan Blanco 470g BIM 9869
30007,Duo Nito 124g SP MTB BIM 30007
30008,Duo Nito 124g SP TAB BIM 30008
30009,Submarinos Chocolate 3p 105g MLA 30009
30010,Submarinos Chocolate 3p 105g MTA MLA 30010
30011,Submarinos Fresa 3p 105g MLA 30011
30012,Submarinos Fresa 3p 105g MTA MLA 30012
30014,Submarinos Vainilla 3p 105g MLA 30014
30015,Submarinos Vainilla 3p 105g MTA MLA 30015
30091,Raztachoc 1p 40g BIM 30091
30092,Raztachoc 1p 40g MTA BIM 30092
30099,Camioncitos Bimbo BIM 30099
30100,Trailer 20g BIM 30100
30110,Takis Fuego 56g BAR 30110
30111,Takis Fajitas 56g BAR 30111
30112,Takis Salsa Brava 56g BAR 30112
30137,Napi 25g MTA MLA 30137
30172,Medias Noches 8p 340g Prom MTA BIM 30172
30173,Medias Noches 8p 340g Prom BIM 30173
30177,Bran Frut Fresa 6p 240g Var BIM 30177
30178,Bran Frut Pina 6p 240g Var BIM 30178
30187,Sprite Lata 24p 355ml CC 30187
30189,Fresca Lata 24p 355ml CC 30189
30190,Fanta Lata 24p 355ml CC 30190
30191,Manzana Lift Lata 24p 355ml CC 30191
30194,Tostada Ond Roja Tubo 30p 360g TBE MR 30194
30195,Tostada Ondulada Tubo 30p 360g TBE MR 30195
30214,Tartinas Fresa 8p 104g TR 30214
30215,Tartinas Pina 8p 104g TR 30215
30218,Bran Frut Mango 48g BIM 30218
30227,Tortilla Harina Casera 10p 220g DH 30227
30235,Barritas Pina KC 8p 600g CU MLA 30235
30236,Barritas Fresa KC 8p 600g CU MLA 30236
30249,Tartinas Fresa 8p 104g MTB TR 30249
30250,Tartinas Fresa 8p 104g TAB TR 30250
30251,Tartinas Pina 8p 104g TAB TR 30251
30252,Tartinas Pina 8p 104g MTB TR 30252
30265,Bran Frut Mango 48g MTB BIM 30265
30266,Bran Frut Mango 48g TAB BIM 30266
30280,Camioncito Bimbo Modelo 3 BIM 30280
30289,Pan Natura Granos Enteros 567g MTA BIM 30289
30302,Tostado 210g y Cajeta Quemada 18g BIM 30302
30305,Tostado Resellable 210g BIM 30305
30306,Tostado Resellable 210g MTA BIM 30306
30314,Canelitas KC 360g MLA 30314
30315,Polvorones KC 450g MLA 30315
30332,Leche Gansito Chocolate 24p MLA 30332
30349,Mini Gansito 30g MTA MLA 30349
30354,Polvorones 113g MLA 30354
30355,Polvorones 113g MTB MLA 30355
30370,Tortillinas 12p 310g Prom TR 30370
30371,Tortillinas 12p 310g WM MTA TR 30371
30372,Tortillinas 12p 310g Prom TAB TR 30372
30374,Tostado 270g BIM 30374
30375,Tostado 270g TNB BIM 30375
30376,Tostado 270g TAB BIM 30376
30378,Agua Ciel Jamaica 12p 600ml CC 30378
30379,Agua Ciel Jamaica 24p 600ml CC 30379
30380,Agua Ciel Limon 12p 600ml CC 30380
30381,Agua Ciel Limon 24p 600ml CC 30381
30383,Agua Ciel Natural 24p 600ml CC 30383
30384,Coca Cola Lata 12p 355ml CC 30384
30385,Coca Cola Light Lata 12p 355ml CC 30385
30387,Manzana Lift Lata 12p 355ml CC 30387
30393,Powerade Naranja 12p 600ml CC 30393
30397,Barra Mora Azul GH 6p 31g MP 30397
30399,Lata Surtido de Galletas 454g Cimab GBI 30399
30403,Pan Integral 370g Prom BIM 30403
30408,Choco Roles Fresa 2p 67g CC MLA 30408
30409,Empanaditas Fresa 20p 506g DH 30409
30413,Tortillinas Burreras 20p 1020g MTA TR 30413
30415,Polvoroncitos Caseros 8p 130g TR 30415
30416,Polvoroncitos Caseros 8p 130g MTA TR 30416
30417,Polvoroncitos Caseros 8p 130g TAB TR 30417
30418,Silueta Fresa 22g BIM 30418
30419,Silueta Fresa 22g MTB BIM 30419
30421,Silueta Fresa 6p 132g BIM 30421
30422,Silueta Fresa 6p 132g CU BIM 30422
30423,Silueta Fresa 6p 132g MTA BIM 30423
30424,Silueta Fresa 6p 132g TAB BIM 30424
30437,Rocks 6p 45g MLA 30437
30461,Barra Arroz con Fruta Seca DIF 25g BIM 30461
30473,Mi Napi 25g MLA 30473
30475,Mini Bigotes Chocolate 5p 65g SP CU TR 30475
30477,Panque Chocolate 255g BIM 30477
30505,Tortillinas 22p 570g Prom TR 30505
30506,Tortillinas 22p 570g Prom MTA TR 30506
30507,Tortillinas 22p 570g Prom TAB TR 30507
30531,Principe 10p 106g Prom MLA 30531
30532,Principe 10p 106g Prom MTB MLA 30532
30533,Principe 10p 106g Prom TAB MLA 30533
30543,Principe Dble Choc 10p 110g Prom MLA 30543
30544,Principe Dble Choc 10p 110g Prom MTB MLA 30544
30548,Suavicremas Chocolate 84g MLA 30548
30549,Suavicremas Chocolate 84g MTA MLA 30549
30550,Suavicremas Chocolate 84g TAB MLA 30550
30551,Suavicremas Fresa 84g MLA 30551
30552,Suavicremas Fresa 84g MTA MLA 30552
30553,Suavicremas Fresa 84g TAB MLA 30553
30554,Suavicremas Vainilla 84g MLA 30554
30555,Suavicremas Vainilla 84g MTA MLA 30555
30556,Suavicremas Vainilla 84g TAB MLA 30556
30562,Sandwich Integral 112g LON 30562
30566,Joya Sabor Manzana Lata 355ml CC 30566
30567,Joya Sabor Toronja Lata 355ml CC 30567
30568,Barritas Fresa Salvado 67g MLA 30568
30569,Barritas Fresa Salvado 67g Prom MTB MLA 30569
30570,Barritas Fresa Salvado 67g TAB MLA 30570
30571,Barritas Fresa 67g MLA 30571
30572,Barritas Fresa 67g Prom MTB MLA 30572
30573,Barritas Fresa 67g TAB MLA 30573
30574,Barritas Pina 67g MLA 30574
30575,Barritas Pina 67g Prom MTB MLA 30575
30576,Barritas Pina 67g TAB MLA 30576
30581,Cuernito Jamon y Queso 80g LON 30581
30582,Sandwich Blanco Jamon 90g LON 30582
30584,Sand Bco Jamon sn Chile 86g LON 30584
30593,Lata Ola 2 Navidena 6p 400g GBI 30593
30594,Lata Ola 3 Navidena 6p 400g GBI 30594
30595,Lata Ola 4 Paul Frank 6p 400g GBI 30595
30599,Wonder 100pct Ajonjoli 680g WON 30599
30626,Rosca Reyes 430g TR 30626
30646,Bombonete Temporalidad 55g SP MLA 30646
30693,Polvoroncitos Caseros 8p 130g SP CU TR 30693
30694,Polvoroncitos Caseros 8p 130g SP MTA TR 30694
30700,Barra Oroweat 35g ORO 30700
30706,Bimbollos Extra 6p 480g Prom MTA BIM 30706
30707,Empanaditas Fresa 20p 506g Prom DH 30707
30723,Tuinky Fresas con Crema 4p 152g WON 30723
30735,Leche Nito 236ml CU BIM 30735
30746,Tostada Kodyz 20p 350g TBE KOD 30746
30749,Tostada Roja 50p 585g TBE DH 30749
30751,Barra Nutriavena Fresa 6p 224g MTA BIM 30751
30772,Tortilla 20p 550g TR 30772
30773,Agua Ciel Natural 12p 600ml CU CC 30773
30784,Barra Multigrano Nuez 1p 34g BIM 30784
30785,Barra Nutriavena Fresa 1p 32g BIM 30785
30805,Cuernitos Famili Pack 3p 150g TAB TR 30805
30813,Pipucho 50g MTB MLA 30813
30814,Pipucho 49g TAB MLA 30814
30815,Barra Multigrano Nuez 1p 34g MTB BIM 30815
30827,Surtido Tartaletas Golden Hills 340g MP 30827
30830,Barra Multigrano Linaza 1p 32g BIM 30830
30831,Barra Multigrano Linaza 1p 32g TAB BIM 30831
30832,Barra Multigrano Linaza 1p 32g MTB BIM 30832
30859,Bisquet con Salvado 115g MTA TR 30859
30871,Empanaditas Pina 20p DH 30871
30877,Duo Gansito Clasico 50g MLA 30877
30888,Empanaditas Pina 20p Prom DH 30888
30900,Sandwich Blanco Jamon 90g MTA LON 30900
30904,Sandwich Integral 112g Prom MTA LON 30904
30906,Cuernito Jamon y Queso 80g Prom MTA LON 30906
30916,Barri Frut Fresa 12p 37g Prom Dpy CU BIM 30916
30917,Barri Frut Fresa 37g Cj CU BIM 30917
30919,Saladas 175g LAR 30919
30946,Bimbunuelos con Canela 2p 33g BIM 30946
30954,Submarinos Fresa 4p 140g Prom MLA 30954
30957,Totopo Chipotle 200g MR 30957
30958,Empanzador Crujiente Prom BIM 30958
30971,Tartinas Fresa 8p 104g SP CU TR 30971
30972,Tartinas Pina 8p 104g SP CU TR 30972
30973,Rielito 65g SP CU TR 30973
30980,Bolsa Orejitas 100g CU TR 30980
30999,Duo Rocko 88g MLA 30999
31001,Duo Rocko 88g MTA MLA 31001
31003,Mask Fresko Yerbabuena 6p 27g MSK 31003
31004,Mask Fresko Menta 6p 27g MSK 31004
31005,Tartinas Fresa 8p 104g SP MTB TR 31005
31006,Tartinas Pina 8p 104g SP MTB TR 31006
31013,Gansi Premio 1p 50g MLA 31013
31015,Gansi Premio 1p 50g MTB MLA 31015
31031,Tartinas Zarzamora 8p 104g TR 31031
31032,Tartinas Zarzamora 8p 104g TAB TR 31032
31033,Tartinas Zarzamora 8p 104g MTB TR 31033
31067,Roscas Nuez sin Glass 32g GBI 31067
31075,Galleta Avena Manz Canela 8p 100g TR 31075
31077,Galleta Avena Manz Canela 8p 100g MTA TR 31077
31080,Submarinos Fresa 4p 140g Prom MTB MLA 31080
31082,Submarinos Vainilla 4p 140g Prom MTB MLA 31082
31083,Submarinos Chocolat 4p 140g Prom MTB MLA 31083
31089,Chips Fuego 46g BAR 31089
31095,Conchas 3p 180g Prom Sp TR 31095
31098,Cuernitos 3p 150g Prom Sp TR 31098
31100,Cuernitos 3p 150g Prom Sp MTA TR 31100
31103,Doraditas 4p 147g Prom Sp MTA TR 31103
31118,Choco Roles Pina 3p 101g Prom MLA 31118
31119,Choco Roles Pina 3p 101g Prom TAB MLA 31119
31120,Choco Roles Pina 3p 101g Prom MTB MLA 31120
31123,Lonchera Plastica Baul 284g CU GBI 31123
31142,Gansito 6p 300g ME Prom MTB MLA 31142
31145,Gansito Choc 6p 312g ME Prom MTB MLA 31145
31147,Tortilla Harina Casera 10p 220g MTA DH 31147
31149,Barra Nutriavena Fresa 2p 32g BIM 31149
31150,Barra Nutriavena Fresa 2p 32g MTA BIM 31150
31170,Tortilla Hna Hermosi 15p 410g DH 31170
31177,Bollos BK 5in 6p 489g MTA SL 31177
31184,Tostada Clasica 216g CJM SAN 31184
31186,Tostada Clasica 216g TBE SAN 31186
31187,Tostada Clasica 240g CJM SAN 31187
31188,Tostada Briobalance 240g CJM SAN 31188
31189,Tostadita Corta 120g CJM SAN 31189
31190,Tostadita Corta 120g TBE SAN 31190
31191,Tostadita Mediana 184g CJM SAN 31191
31192,Tostada Picadita Corta 100g CJM SAN 31192
31194,Tostada Picadita Mediana 150g CJM SAN 31194
31197,Tostada Picadita Grande 240g CJM SAN 31197
31198,Salmas 144g CJM SAN 31198
31199,Salmas 144g TBE SAN 31199
31200,Salmas 414g CJM SAN 31200
31201,Nachos 250g CJM SAN 31201
31203,Tostada Maiz 200g mas Brio CJM SAN 31203
31207,Tostada Maiz Horneadas 600g CUB SAN 31207
